,city,confirm,country,dead,heal,province,suspect,update_time
0,地区待确认,5256,中国,105,4982,香港,0,2020-10-19 17:31:35
1,境外输入,748,中国,0,678,上海,0,2020-10-19 17:31:35
2,青浦,6,中国,0,6,上海,0,2020-10-19 17:31:35
3,外地来沪,113,中国,1,112,上海,0,2020-10-19 17:31:35
4,地区待确认,0,中国,0,0,上海,0,2020-10-19 17:31:35
5,宝山,22,中国,1,21,上海,0,2020-10-19 17:31:35
6,嘉定,9,中国,2,7,上海,0,2020-10-19 17:31:35
7,徐汇,18,中国,1,17,上海,0,2020-10-19 17:31:35
8,静安,16,中国,1,15,上海,0,2020-10-19 17:31:35
9,黄浦,6,中国,1,5,上海,0,2020-10-19 17:31:35
10,浦东,61,中国,0,61,上海,0,2020-10-19 17:31:35
11,境外来沪,1,中国,0,1,上海,0,2020-10-19 17:31:35
12,虹口,7,中国,0,7,上海,0,2020-10-19 17:31:35
13,崇明,4,中国,0,4,上海,0,2020-10-19 17:31:35
14,金山,4,中国,0,4,上海,0,2020-10-19 17:31:35
15,奉贤,9,中国,0,9,上海,0,2020-10-19 17:31:35
16,杨浦,9,中国,0,9,上海,0,2020-10-19 17:31:35
17,普陀,11,中国,0,11,上海,0,2020-10-19 17:31:35
18,长宁,13,中国,0,13,上海,0,2020-10-19 17:31:35
19,松江,14,中国,0,14,上海,0,2020-10-19 17:31:35
20,闵行,19,中国,0,19,上海,0,2020-10-19 17:31:35
21,地区待确认,540,中国,7,493,台湾,0,2020-10-19 17:31:35
22,境外输入,488,中国,0,452,广东,0,2020-10-19 17:31:35
23,湛江,22,中国,0,22,广东,0,2020-10-19 17:31:35
24,汕尾,6,中国,0,6,广东,0,2020-10-19 17:31:35
25,广州,377,中国,1,376,广东,0,2020-10-19 17:31:35
26,茂名,14,中国,0,14,广东,0,2020-10-19 17:31:35
27,潮州,5,中国,0,5,广东,0,2020-10-19 17:31:35
28,惠州,62,中国,0,62,广东,0,2020-10-19 17:31:35
29,清远,12,中国,0,12,广东,0,2020-10-19 17:31:35
30,韶关,10,中国,1,9,广东,0,2020-10-19 17:31:35
31,中山,67,中国,0,67,广东,0,2020-10-19 17:31:35
32,河源,5,中国,0,5,广东,0,2020-10-19 17:31:35
33,地区待确认,0,中国,0,0,广东,0,2020-10-19 17:31:35
34,珠海,98,中国,1,97,广东,0,2020-10-19 17:31:35
35,汕头,25,中国,0,25,广东,0,2020-10-19 17:31:35
36,揭阳,10,中国,0,10,广东,0,2020-10-19 17:31:35
37,江门,23,中国,0,23,广东,0,2020-10-19 17:31:35
38,梅州,16,中国,0,16,广东,0,2020-10-19 17:31:35
39,佛山,89,中国,0,89,广东,0,2020-10-19 17:31:35
40,深圳,423,中国,3,420,广东,0,2020-10-19 17:31:35
41,肇庆,19,中国,1,18,广东,0,2020-10-19 17:31:35
42,东莞,99,中国,1,98,广东,0,2020-10-19 17:31:35
43,阳江,14,中国,0,14,广东,0,2020-10-19 17:31:35
44,境外输入,184,中国,0,149,四川,0,2020-10-19 17:31:35
45,遂宁,17,中国,0,17,四川,0,2020-10-19 17:31:35
46,成都,145,中国,3,142,四川,0,2020-10-19 17:31:35
47,资阳,4,中国,0,4,四川,0,2020-10-19 17:31:35
48,自贡,9,中国,0,9,四川,0,2020-10-19 17:31:35
49,眉山,8,中国,0,8,四川,0,2020-10-19 17:31:35
50,攀枝花,16,中国,0,16,四川,0,2020-10-19 17:31:35
51,泸州,24,中国,0,24,四川,0,2020-10-19 17:31:35
52,德阳,18,中国,0,18,四川,0,2020-10-19 17:31:35
53,绵阳,22,中国,0,22,四川,0,2020-10-19 17:31:35
54,广元,6,中国,0,6,四川,0,2020-10-19 17:31:35
55,雅安,8,中国,0,8,四川,0,2020-10-19 17:31:35
56,内江,22,中国,0,22,四川,0,2020-10-19 17:31:35
57,乐山,3,中国,0,3,四川,0,2020-10-19 17:31:35
58,南充,39,中国,0,39,四川,0,2020-10-19 17:31:35
59,宜宾,12,中国,0,12,四川,0,2020-10-19 17:31:35
60,广安,30,中国,0,30,四川,0,2020-10-19 17:31:35
61,达州,42,中国,0,42,四川,0,2020-10-19 17:31:35
62,巴中,24,中国,0,24,四川,0,2020-10-19 17:31:35
63,凉山,13,中国,0,13,四川,0,2020-10-19 17:31:35
64,甘孜,78,中国,0,78,四川,0,2020-10-19 17:31:35
65,阿坝,1,中国,0,1,四川,0,2020-10-19 17:31:35
66,境外输入,193,中国,0,166,陕西,0,2020-10-19 17:31:35
67,韩城,1,中国,0,1,陕西,0,2020-10-19 17:31:35
68,渭南,15,中国,0,15,陕西,0,2020-10-19 17:31:35
69,咸阳,17,中国,0,17,陕西,0,2020-10-19 17:31:35
70,西安,120,中国,3,117,陕西,0,2020-10-19 17:31:35
71,汉中,26,中国,0,26,陕西,0,2020-10-19 17:31:35
72,杨凌,1,中国,0,1,陕西,0,2020-10-19 17:31:35
73,地区待确认,0,中国,0,0,陕西,0,2020-10-19 17:31:35
74,榆林,3,中国,0,3,陕西,0,2020-10-19 17:31:35
75,商洛,7,中国,0,7,陕西,0,2020-10-19 17:31:35
76,铜川,8,中国,0,8,陕西,0,2020-10-19 17:31:35
77,延安,8,中国,0,8,陕西,0,2020-10-19 17:31:35
78,宝鸡,13,中国,0,13,陕西,0,2020-10-19 17:31:35
79,安康,26,中国,0,26,陕西,0,2020-10-19 17:31:35
80,境外输入,119,中国,0,106,天津,0,2020-10-19 17:31:35
81,和平区,6,中国,0,6,天津,0,2020-10-19 17:31:35
82,宝坻区,60,中国,2,58,天津,0,2020-10-19 17:31:35
83,河北区,12,中国,0,12,天津,0,2020-10-19 17:31:35
84,津南区,2,中国,0,2,天津,0,2020-10-19 17:31:35
85,南开区,6,中国,0,6,天津,0,2020-10-19 17:31:35
86,河东区,15,中国,1,14,天津,0,2020-10-19 17:31:35
87,宁河区,4,中国,0,4,天津,0,2020-10-19 17:31:35
88,北辰区,7,中国,0,7,天津,0,2020-10-19 17:31:35
89,外地来津,6,中国,0,6,天津,0,2020-10-19 17:31:35
90,滨海新区,3,中国,0,3,天津,0,2020-10-19 17:31:35
91,武清区,2,中国,0,2,天津,0,2020-10-19 17:31:35
92,东丽区,4,中国,0,4,天津,0,2020-10-19 17:31:35
93,河西区,4,中国,0,4,天津,0,2020-10-19 17:31:35
94,西青区,4,中国,0,4,天津,0,2020-10-19 17:31:35
95,红桥区,2,中国,0,2,天津,0,2020-10-19 17:31:35
96,青岛,78,中国,1,64,山东,0,2020-10-19 17:31:35
